"Flight Numbers","Origin Airport","Destination Airport","Mileage Program","Departure Time","Arrival Time","Duration (minutes)","Stops","Aircraft","Connections","Economy Miles","Economy Direct Miles","Economy Seats","Economy Direct Seats","Economy Carriers","Economy Direct Carriers","Economy Taxes","Economy Taxes Currency","Premium Economy Miles","Premium Economy Direct Miles","Premium Economy Seats","Premium Economy Direct Seats","Premium Economy Carriers","Premium Economy Direct Carriers","Premium Economy Taxes","Premium Economy Taxes Currency","Business Miles","Business Direct Miles","Business Seats","Business Direct Seats","Business Carriers","Business Direct Carriers","Business Taxes","Business Taxes Currency","First Miles","First Direct Miles","First Seats","First Direct Seats","First Carriers","First Direct Carriers","First Taxes","First Taxes Currency"
"DL1029, DL214","JFK","FCO","delta","10/15 11:00AM","10/16 7:35AM","875","1","Boeing 737-900, Airbus A330-900neo","ATL","39200","","9","","","","5.60","USD","0","","","","","","","","0","","2","","","","5.60","USD","0","","","","","","",""
"DL5595, DL112","JFK","FCO","delta","10/18 2:00PM","10/19 6:50AM","650","1","Embraer E175, Airbus A330-300","BOS","29900","","9","","","","5.60","USD","0","","","","","","","","0","","7","","","","5.60","USD","0","","","","","","",""
"AF9, AF1604","JFK","FCO","flyingblue","10/08 11:30PM","10/09 5:30PM","720","1","Boeing 777-300ER, Airbus A220","CDG","25000","","9","","","","156.30","USD","90000","","8","","","","248.50","USD","0","","2","","","","363.90","USD","0","","","","","","",""
"AF9, AF1604","JFK","FCO","flyingblue","10/14 11:30PM","10/15 5:30PM","720","1","Boeing 777-300ER, Airbus A220","CDG","25000","","9","","","","156.30","USD","40000","","2","","","","248.50","USD","0","","5","","","","363.90","USD","0","","","","","","",""
"DL1480, DL66","JFK","FCO","delta","10/22 3:40PM","10/23 10:50AM","790","1","Boeing 737-900, Airbus A330-900neo","ATL","34000","","9","","","","5.60","USD","0","","","","","","","","0","","9","","","","5.60","USD","0","","","","","","",""
"KL642, KL1601","JFK","FCO","flyingblue","10/15 4:40PM","10/16 9:35AM","655","1","Boeing 787-10, Airbus A321neo","AMS","41500","","8","","","","167.90","USD","0","","9","","","","260.10","USD","0","","3","","","","375.50","USD","0","","","","","","",""
"DL2227, DL214","JFK","FCO","delta","10/15 8:40AM","10/16 7:35AM","1015","1","Boeing 737-900, Airbus A330-900neo","ATL","39200","","9","","","","5.60","USD","0","","","","","","","","0","","2","","","","5.60","USD","0","","","","","","",""
"KL642, KL1603","JFK","FCO","flyingblue","10/26 6:00PM","10/27 11:55AM","775","1","Boeing 787-10, Boeing 737-900","AMS","35500","","9","","","","167.90","USD","90000","","4","","","","260.10","USD","0","","8","","","","375.50","USD","0","","","","","","",""
"DL182","JFK","FCO","delta","11/04 5:25PM","11/05 7:45AM","500","0","Airbus A330-300","","47700","","9","","","","5.60","USD","132500","","4","","","","5.60","USD","0","","9","","","","5.60","USD","0","","","","","","",""
"AF7, AF1504","JFK","FCO","flyingblue","10/22 9:30PM","10/23 2:25PM","655","1","Boeing 777-300ER, Airbus A320","CDG","25000","","9","","","","157.19","USD","0","","6","","","","250.10","USD","0","","9","","","","366.30","USD","0","","","","","","",""
