"Flight Numbers","Origin Airport","Destination Airport","Mileage Program","Departure Time","Arrival Time","Duration (minutes)","Stops","Aircraft","Connections","Economy Miles","Economy Direct Miles","Economy Seats","Economy Direct Seats","Economy Carriers","Economy Direct Carriers","Economy Taxes","Economy Taxes Currency","Premium Economy Miles","Premium Economy Direct Miles","Premium Economy Seats","Premium Economy Direct Seats","Premium Economy Carriers","Premium Economy Direct Carriers","Premium Economy Taxes","Premium Economy Taxes Currency","Business Miles","Business Direct Miles","Business Seats","Business Direct Seats","Business Carriers","Business Direct Carriers","Business Taxes","Business Taxes Currency","First Miles","First Direct Miles","First Seats","First Direct Seats","First Carriers","First Direct Carriers","First Taxes","First Taxes Currency"
"KL1600, KL641","FCO","JFK","flyingblue","10/15 6:30AM","10/15 2:35PM","845","1","Airbus A321neo, Boeing 787-10","AMS","18750","","9","","","","224.63","USD","89000","","9","","","","321.43","USD","0","","4","","","","455.23","USD","0","","","","","","",""
"AF1105, AF10","FCO","JFK","flyingblue","10/11 12:30PM","10/11 8:45PM","855","1","Airbus A320, Boeing 777-300ER","CDG","25500","","7","","","","224.83","USD","0","","9","","","","321.63","USD","0","","9","","","","455.53","USD","0","","","","","","",""
"AF1005, AF4","FCO","JFK","flyingblue","10/12 6:05AM","10/12 12:55PM","770","1","Airbus A318, Boeing 777-300ER","CDG","25500","","9","","","","226.33","USD","0","","2","","","","323.93","USD","0","","9","","","","458.73","USD","0","","","","","","",""
"AF1205, AF6","FCO","JFK","flyingblue","10/13 10:00AM","10/13 3:50PM","710","1","Airbus A320, Boeing 777-300ER","CDG","25000","","9","","","","224.83","USD","0","","5","","","","321.63","USD","0","","9","","","","455.53","USD","0","","","","","","",""
"KL1602, KL643","FCO","JFK","flyingblue","11/03 10:05AM","11/03 7:20PM","915","1","Airbus A321neo, Boeing 787-10","AMS","18750","","9","","","","224.73","USD","88500","","9","","","","321.52","USD","148000","","9","","","","455.43","USD","0","","","","","","",""
"DL215, DL1480","FCO","JFK","delta","10/29 10:25AM","10/29 10:06PM","1001","1","Airbus A330-900neo, Boeing 737-900","ATL","54000","","9","","","","60.49","EUR","0","","","","","","","","0","","9","","","","60.49","EUR","0","","","","","","",""
"AF1205, AF8","FCO","JFK","flyingblue","10/22 10:00AM","10/22 6:45PM","885","1","Airbus A320, Boeing 777-300ER","CDG","25000","","9","","","","224.83","USD","88500","","2","","","","321.63","USD","0","","9","","","","455.53","USD","0","","","","","","",""
"KL1600, KL641","FCO","JFK","flyingblue","10/11 6:30AM","10/11 2:35PM","845","1","Airbus A321neo, Boeing 787-10","AMS","66500","","9","","","","224.73","USD","0","","9","","","","321.52","USD","0","","4","","","","455.43","USD","0","","","","","","",""
"AF1205, AF8","FCO","JFK","flyingblue","10/06 10:00AM","10/06 6:45PM","885","1","Airbus A320, Boeing 777-300ER","CDG","18750","","9","","","","224.83","USD","0","","9","","","","321.63","USD","0","","9","","","","455.53","USD","0","","","","","","",""
"AF1505, AF12","FCO","JFK","flyingblue","10/14 3:30PM","10/14 10:40PM","790","1","Airbus A220, Airbus A350-900","CDG","18750","","9","","","","224.83","USD","40000","","3","","","","321.63","USD","148000","","8","","","","455.53","USD","0","","","","","","",""
"AF1505, AF12","FCO","JFK","flyingblue","10/22 3:30PM","10/22 10:40PM","790","1","Airbus A319, Airbus A350-900","CDG","25000","","9","","","","224.83","USD","40000","","2","","","","321.63","USD","0","","2","","","","455.53","USD","0","","","","","","",""
"AF1005, AF4","FCO","JFK","flyingblue","10/07 6:05AM","10/07 12:55PM","770","1","Airbus A320, Boeing 777-300ER","CDG","18750","","9","","","","224.73","USD","0","","","","","","","","0","","5","","","","455.33","USD","0","","","","","","",""
"AF1105, AF8","FCO","JFK","flyingblue","10/08 12:30PM","10/08 6:45PM","735","1","Airbus A320, Boeing 777-300ER","CDG","25000","","9","","","","224.83","USD","0","","","","","","","","0","","5","","","","455.53","USD","0","","","","","","",""
"DL207, DL1316","FCO","JFK","delta","10/25 10:00AM","10/25 9:44PM","1004","1","Airbus A330-300, Airbus A319","DTW","120000","","9","","","","60.49","EUR","0","","","","","","","","0","","9","","","","60.49","EUR","0","","","","","","",""
"DL67, DL1480","FCO","JFK","delta","10/12 1:10PM","10/12 10:51PM","941","1","Airbus A330-900neo, Boeing 737-900","ATL","84000","","7","","","","60.49","EUR","0","","","","","","","","0","","4","","","","60.49","EUR","0","","","","","","",""
"KL1602, KL643","FCO","JFK","flyingblue","10/12 10:35AM","10/12 7:15PM","880","1","Airbus A321neo, Boeing 787-10","AMS","18750","","9","","","","226.33","USD","0","","9","","","","323.93","USD","0","","6","","","","458.73","USD","0","","","","","","",""
"DL183","FCO","JFK","delta","10/06 10:10AM","10/06 2:07PM","597","0","Airbus A330-300","","56000","","9","","","","55.63","EUR","0","","","","","","","","0","","2","","","","55.63","EUR","0","","","","","","",""
"DL207, DL2934","FCO","JFK","delta","10/15 9:00AM","10/15 6:07PM","907","1","Airbus A330-300, Airbus A319","DTW","54000","","9","","","","60.49","EUR","0","","","","","","","","0","","3","","","","60.49","EUR","0","","","","","","",""
"AF1105, AF12","FCO","JFK","flyingblue","10/25 12:45PM","10/25 11:45PM","960","1","Airbus A320, Boeing 777-300ER","CDG","47500","","9","","","","226.33","USD","0","","4","","","","323.93","USD","0","","9","","","","458.73","USD","0","","","","","","",""
